candidate_id,rank,score,reasoning
CAND_0083307,24,0.789591,"Search Engineer with 7.8 years in Vizag, Andhra Pradesh. Lands at #24. Direct, hands-on evidence for bm25, ranking, retrieval, and owned — the core of what this role needs. Edges out #25 on production & career evidence. One flag: a 120-day notice period."
CAND_0041594,25,0.784142,"#25 — partial but real. Computer Vision Engineer with 4.3 years in Gurgaon, Haryana. Direct, hands-on evidence for search, pipeline, production, and elasticsearch — the core of what this role needs."
CAND_0012837,26,0.783125,"Reasonable fit at #26. Junior ML Engineer with 6.4 years in Chandigarh, Chandigarh. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs."
CAND_0074225,27,0.782770,"Reasonable fit at #27. Machine Learning Engineer with 4.3 years in Vizag, Andhra Pradesh. Direct, hands-on evidence for ranking, owned, pipeline, and elasticsearch — the core of what this role needs. One flag: a 120-day notice period."
CAND_0037160,28,0.782094,"Data Scientist with 6.0 years in Mumbai, Maharashtra. Lands at #28. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs."
CAND_0065277,29,0.780690,"#29 — partial but real. Computer Vision Engineer with 6.3 years in Mumbai, Maharashtra. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs."
CAND_0030031,30,0.777781,"AI Engineer with 5.7 years in Trivandrum, Kerala. Lands at #30. Direct, hands-on evidence for ranking, recommendation, search, and drift — the core of what this role needs."
CAND_0050876,31,0.777119,"Applied ML Engineer with 6.0 years in Kolkata, West Bengal. Lands at #31. Direct, hands-on evidence for ranking, recommendation, search, and owned — the core of what this role needs."
CAND_0025882,32,0.774831,"Senior Software Engineer (ML) with 5.6 years in Chennai, Tamil Nadu. Lands at #32. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs."
CAND_0018722,33,0.765890,"Recommendation Systems Engineer with 6.6 years in Toronto. Lands at #33. Direct, hands-on evidence for bm25, ranking, recommendation, and owned — the core of what this role needs."
CAND_0030953,34,0.765423,"Worth a look at #34. Search Engineer with 7.8 years in Chennai, Tamil Nadu. Direct, hands-on evidence for bm25, ranking, recommendation, and owned — the core of what this role needs."
CAND_0039754,35,0.764445,"Reasonable fit at #35. Senior Applied Scientist with 16.2 years in Indore, Madhya Pradesh. Direct, hands-on evidence for bm25, ranker, ranking, and drift — the core of what this role needs."
CAND_0032179,36,0.764055,"Worth a look at #36. Computer Vision Engineer with 6.4 years in Sydney. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs."
CAND_0037944,37,0.761815,"#37 — partial but real. Senior Data Scientist with 4.9 years in Jaipur, Rajasthan. Direct, hands-on evidence for ranking, owned, pipeline, and embedding — the core of what this role needs."
CAND_0055905,38,0.761289,"Worth a look at #38. Senior Machine Learning Engineer with 8.1 years in London. Direct, hands-on evidence for bm25, matching, ranker, and deployed — the core of what this role needs."
CAND_0032955,39,0.757883,"Reasonable fit at #39. Computer Vision Engineer with 5.2 years in Kochi, Kerala. Direct, hands-on evidence for ranking, recommendation, search, and pipeline — the core of what this role needs."
CAND_0095868,40,0.757819,"#40 — partial but real. Junior ML Engineer with 5.2 years in Mumbai, Maharashtra. Direct, hands-on evidence for search, pipeline, production, and vector — the core of what this role needs. One flag: a 120-day notice period."
CAND_0012957,41,0.756748,"Search Engineer with 4.9 years in Chennai, Tamil Nadu. Lands at #41. Direct, hands-on evidence for ranking, recommendation, search, and owned — the core of what this role needs. One flag: a 120-day notice period."
CAND_0096172,42,0.755618,"Reasonable fit at #42. NLP Engineer with 5.2 years in Chennai, Tamil Nadu. Direct, hands-on evidence for bm25, ranking, recommendation, and pipeline — the core of what this role needs."
CAND_0057701,43,0.745213,"Reasonable fit at #43. Recommendation Systems Engineer with 4.1 years in Chandigarh, Chandigarh. Direct, hands-on evidence for ranking, recommendation, owned, and shipped — the core of what this role needs. One flag: a 120-day notice period."
CAND_0087529,44,0.744399,"Reasonable fit at #44. AI Specialist with 4.0 years in Noida, Uttar Pradesh. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs."
CAND_0024620,45,0.743034,"Reasonable fit at #45. AI Engineer with 5.9 years in New York. Direct, hands-on evidence for ranking, recommendation, search, and drift — the core of what this role needs."
CAND_0069905,46,0.740993,"Reasonable fit at #46. Applied ML Engineer with 6.6 years in Bhubaneswar, Odisha. Direct, hands-on evidence for bm25, recommendation, retrieval, and pipeline — the core of what this role needs."
CAND_0064904,47,0.740918,"Worth a look at #47. AI Engineer with 4.9 years in Hyderabad, Telangana. Direct, hands-on evidence for ranking, recommendation, drift, and monitoring — the core of what this role needs."
CAND_0099401,48,0.740220,"Reasonable fit at #48. NLP Engineer with 7.7 years in Ahmedabad, Gujarat. Direct, hands-on evidence for ranking, recommendation, search, and drift — the core of what this role needs."
CAND_0081846,49,0.739647,"#49 — partial but real. Lead AI Engineer with 6.7 years in Jaipur, Rajasthan. Direct, hands-on evidence for bm25, ranker, ranking, and drift — the core of what this role needs."
CAND_0016678,50,0.737392,"Worth a look at #50. Junior ML Engineer with 6.8 years in Bhubaneswar, Odisha. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs."
CAND_0011162,51,0.737363,"Worth a look at #51. Recommendation Systems Engineer with 5.8 years in Coimbatore, Tamil Nadu. Direct, hands-on evidence for ranking, recommendation, search, and drift — the core of what this role needs."
CAND_0095528,52,0.736368,"Senior Data Scientist with 5.3 years in Indore, Madhya Pradesh. Lands at #52. Direct, hands-on evidence for ranking, recommendation, drift, and monitoring — the core of what this role needs."
CAND_0053605,53,0.734939,"#53 — partial but real. Senior Software Engineer (ML) with 6.9 years in Noida, Uttar Pradesh. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs."
CAND_0081686,54,0.733165,"Reasonable fit at #54. Search Engineer with 6.0 years in Austin. Direct, hands-on evidence for bm25, ranking, recommendation, and owned — the core of what this role needs."
CAND_0098454,55,0.730891,"AI Specialist with 6.6 years in Indore, Madhya Pradesh. Lands at #55. Direct, hands-on evidence for search, pipeline, production, and embedding — the core of what this role needs."
CAND_0035653,56,0.729583,"Worth a look at #56. Data Scientist with 5.6 years in Indore, Madhya Pradesh. Direct, hands-on evidence for search, pipeline, production, and opensearch — the core of what this role needs."
CAND_0070398,57,0.728253,"#57 — partial but real. Machine Learning Engineer with 7.2 years in Kochi, Kerala. Direct, hands-on evidence for bm25, ranking, retrieval, and owned — the core of what this role needs. One flag: a 120-day notice period."
CAND_0006567,58,0.726680,"Worth a look at #58. Senior AI Engineer with 7.9 years in Noida, Uttar Pradesh. Direct, hands-on evidence for matching, personalization, ranking, and drift — the core of what this role needs."
CAND_0097896,59,0.722511,"Worth a look at #59. AI Research Engineer with 4.8 years in Jaipur, Rajasthan. Direct, hands-on evidence for ranking, recommendation, search, and pipeline — the core of what this role needs. One flag: a 120-day notice period."
CAND_0076163,60,0.719889,"Reasonable fit at #60. NLP Engineer with 6.9 years in Chandigarh, Chandigarh. Direct, hands-on evidence for ranking, search, owned, and pipeline — the core of what this role needs."
CAND_0031842,61,0.719372,"Near the cutoff at #61. AI Specialist with 3.5 years in Hyderabad, Telangana. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (100%); worth a human look."
CAND_0051630,62,0.717636,"Machine Learning Engineer with 6.0 years in Kolkata, West Bengal. Sits at #62, on the bubble. Direct, hands-on evidence for bm25, ranking, retrieval, and owned — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (100%); worth a human look."
CAND_0005311,63,0.715645,"AI Research Engineer with 5.7 years in Mumbai, Maharashtra. Sits at #63, on the bubble. Direct, hands-on evidence for search, pipeline, production, and qdrant — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0068811,64,0.714299,"#64, included with caveats. Applied ML Engineer with 8.0 years in Pune, Maharashtra. Direct, hands-on evidence for ranking, recommendation, search, and drift — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0012888,65,0.713885,"#65, included with caveats. Junior ML Engineer with 6.4 years in Delhi, Delhi. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0041610,66,0.711932,"A maybe at #66. Recommendation Systems Engineer with 6.7 years in Indore, Madhya Pradesh. Direct, hands-on evidence for ranking, recommendation, search, and drift — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0015493,67,0.711468,"Data Scientist with 6.4 years in Vizag, Andhra Pradesh. Sits at #67, on the bubble. Direct, hands-on evidence for ranking, recommendation, search, and pipeline — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0056262,68,0.709739,"Junior ML Engineer with 6.0 years in Bangalore, Karnataka. Sits at #68, on the bubble. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0046525,69,0.707749,"Near the cutoff at #69. Senior Machine Learning Engineer with 6.1 years in Pune, Maharashtra. Direct, hands-on evidence for bm25, ranker, ranking, and latency — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0073883,70,0.705585,"Near the cutoff at #70. AI Specialist with 5.3 years in Chandigarh, Chandigarh. Direct, hands-on evidence for ranking, recommendation, production, and faiss — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0073504,71,0.704886,"A maybe at #71. Junior ML Engineer with 6.6 years in Gurgaon, Haryana. Direct, hands-on evidence for ranking, recommendation, production, and elasticsearch — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0080344,72,0.698741,"Near the cutoff at #72. Senior Software Engineer (ML) with 4.9 years in Hyderabad, Telangana. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0004402,73,0.697743,"Near the cutoff at #73. AI Research Engineer with 6.0 years in Delhi, Delhi. Direct, hands-on evidence for ranking, recommendation, search, and pipeline — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0052195,74,0.697152,"#74, included with caveats. Computer Vision Engineer with 6.3 years in Kolkata, West Bengal. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0093193,75,0.692762,"#75, included with caveats. Senior Machine Learning Engineer with 7.9 years in Bangalore, Karnataka. Direct, hands-on evidence for matching, opensearch, and qdrant — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0071974,76,0.692282,"#76, included with caveats. Senior AI Engineer with 7.8 years in Vizag, Andhra Pradesh. Direct, hands-on evidence for matching, ranking, recommendation, and deployed — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0095060,77,0.692185,"AI Specialist with 6.3 years in Hyderabad, Telangana. Sits at #77, on the bubble. Direct, hands-on evidence for ranking, recommendation, production, and vector — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0055139,78,0.692019,"ML Engineer with 6.9 years in Chennai, Tamil Nadu. Sits at #78, on the bubble. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. One flag: a 120-day notice period."
CAND_0018013,79,0.691653,"#79, included with caveats. AI Specialist with 6.7 years in Jaipur, Rajasthan. Direct, hands-on evidence for ranking, recommendation, search, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0082973,80,0.691386,"AI Specialist with 6.4 years in Chandigarh, Chandigarh. Sits at #80, on the bubble. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0018549,81,0.691240,"#81, included with caveats. Recommendation Systems Engineer with 6.8 years in Coimbatore, Tamil Nadu. Direct, hands-on evidence for ranking, recommendation, search, and owned — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0046924,82,0.690522,"Near the cutoff at #82. Computer Vision Engineer with 6.3 years in Noida, Uttar Pradesh. Direct, hands-on evidence for ranking, recommendation, search, and production — the core of what this role needs. One flag: a 120-day notice period."
CAND_0007412,83,0.690333,"Applied ML Engineer with 7.4 years in Noida, Uttar Pradesh. Sits at #83, on the bubble. Direct, hands-on evidence for ranking, recommendation, search, and owned — the core of what this role needs. One flag: a 120-day notice period."
CAND_0050454,84,0.689998,"A maybe at #84. AI Engineer with 6.8 years in Delhi, Delhi. Direct, hands-on evidence for bm25, ranking, retrieval, and owned — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0039383,85,0.689537,"Near the cutoff at #85. Applied ML Engineer with 7.1 years in Gurgaon, Haryana. Direct, hands-on evidence for bm25, ranking, retrieval, and owned — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0088385,86,0.689178,"A maybe at #86. Computer Vision Engineer with 7.0 years in Bangalore, Karnataka. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0073620,87,0.688917,"AI Research Engineer with 4.4 years in Noida, Uttar Pradesh. Sits at #87, on the bubble. Direct, hands-on evidence for ranking, recommendation, search, and pipeline — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0040178,88,0.688559,"#88, included with caveats. ML Engineer with 5.0 years in Pune, Maharashtra. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0047327,89,0.686773,"#89, included with caveats. Junior ML Engineer with 5.0 years in Gurgaon, Haryana. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0000031,90,0.686663,"A maybe at #90. Recommendation Systems Engineer with 6.0 years in Hyderabad, Telangana. Direct, hands-on evidence for ranking, recommendation, search, and owned — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0044576,91,0.686442,"Senior Software Engineer (ML) with 5.4 years in Coimbatore, Tamil Nadu. Sits at #91, on the bubble. Direct, hands-on evidence for search, pipeline, production, and opensearch — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0054123,92,0.686050,"Near the cutoff at #92. Applied ML Engineer with 4.7 years in Gurgaon, Haryana. Direct, hands-on evidence for bm25, ranking, recommendation, and pipeline — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (100%); worth a human look."
CAND_0065786,93,0.685117,"AI Specialist with 4.9 years in Indore, Madhya Pradesh. Sits at #93, on the bubble. Direct, hands-on evidence for ranking, recommendation, search, and pipeline — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0086022,94,0.684933,"#94, included with caveats. Senior Applied Scientist with 5.3 years in Kolkata, West Bengal. Direct, hands-on evidence for bm25, ranker, ranking, and latency — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0045862,95,0.684529,"#95, included with caveats. AI Specialist with 6.7 years in Jaipur, Rajasthan. Direct, hands-on evidence for ranking, recommendation, production, and vector — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0098846,96,0.684159,"Near the cutoff at #96. AI Engineer with 7.6 years in Indore, Madhya Pradesh. Direct, hands-on evidence for ranking, search, drift, and monitoring — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0054100,97,0.683829,"Near the cutoff at #97. Junior ML Engineer with 6.0 years in Kolkata, West Bengal. Direct, hands-on evidence for pipeline, pinecone, and vector — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (100%); worth a human look."
CAND_0008239,98,0.682840,"#98, included with caveats. AI Engineer with 4.0 years in Jaipur, Rajasthan. Direct, hands-on evidence for ranking, search, owned, and pipeline — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (90%); worth a human look."
CAND_0005509,99,0.682393,"A maybe at #99. Data Scientist with 6.0 years in Noida, Uttar Pradesh. Direct, hands-on evidence for ranking, recommendation, search, and pipeline — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
CAND_0042029,100,0.682163,"Senior Data Scientist with 6.5 years in Delhi, Delhi. Sits at #100, on the bubble. Direct, hands-on evidence for ranking, owned, pipeline, and elasticsearch — the core of what this role needs. Makes the shortlist on breadth of relevant signal rather than deep must-have coverage (83%); worth a human look."
